"","x"
"1","Australian Wood Duck"
"2","Australian Brush-turkey"
"3","White-headed Pigeon"
"4","Brown Cuckoo-Dove"
"5","Wonga Pigeon"
"6","Peaceful Dove"
"7","Bar-shouldered Dove"
"8","Brown-capped Emerald Dove"
"9","Wompoo Fruit-Dove"
"10","Superb Fruit-Dove"
"11","Rose-crowned Fruit-Dove"
"12","Topknot Pigeon"
"13","Eastern Koel"
"14","Channel-billed Cuckoo"
"15","Shining Bronze-Cuckoo"
"16","Fan-tailed Cuckoo"
"17","Brush Cuckoo"
"18","Australian Owlet-nightjar"
"19","White-throated Needletail"
"20","Painted Button-quail"
"21","Pacific Baza"
"22","Wedge-tailed Eagle"
"23","Brown Goshawk"
"24","Collared Sparrowhawk"
"25","Rainbow Bee-eater"
"26","Dollarbird"
"27","Sacred Kingfisher"
"28","Laughing Kookaburra"
"29","Australian Hobby"
"30","Glossy Black-Cockatoo"
"31","Yellow-tailed Black-Cockatoo"
"32","Sulphur-crested Cockatoo"
"33","Australian King-Parrot"
"34","Crimson Rosella"
"35","Eastern Rosella"
"36","Musk Lorikeet"
"37","Little Lorikeet"
"38","Rainbow Lorikeet"
"39","Scaly-breasted Lorikeet"
"40","Noisy Pitta"
"41","Albert's Lyrebird"
"42","Superb Lyrebird"
"43","Green Catbird"
"44","Regent Bowerbird"
"45","Satin Bowerbird"
"46","White-throated Treecreeper"
"47","Variegated Fairy-wren"
"48","Superb Fairy-wren"
"49","Scarlet Honeyeater"
"50","Noisy Friarbird"
"51","Brown Honeyeater"
"52","White-cheeked Honeyeater"
"53","White-naped Honeyeater"
"54","Eastern Spinebill"
"55","Lewin's Honeyeater"
"56","Red Wattlebird"
"57","Yellow-faced Honeyeater"
"58","Yellow-tufted Honeyeater"
"59","Bell Miner"
"60","Noisy Miner"
"61","Spotted Pardalote"
"62","Striated Pardalote"
"63","Brown Gerygone"
"64","White-throated Gerygone"
"65","Yellow-throated Scrubwren"
"66","White-browed Scrubwren"
"67","Large-billed Scrubwren"
"68","Striated Thornbill"
"69","Brown Thornbill"
"70","Australian Logrunner"
"71","Varied Sittella"
"72","Barred Cuckoo-shrike"
"73","Black-faced Cuckoo-shrike"
"74","White-bellied Cuckoo-shrike"
"75","Cicadabird"
"76","Spotted Quail-thrush"
"77","Rufous Whistler"
"78","Golden Whistler"
"79","Little Shrike-thrush"
"80","Grey Shrike-thrush"
"81","Crested Shrike-tit"
"82","Eastern Whipbird"
"83","Australasian Figbird"
"84","Olive-backed Oriole"
"85","Pied Currawong"
"86","Australian Magpie"
"87","Grey Butcherbird"
"88","Dusky Woodswallow"
"89","Spangled Drongo"
"90","Willie Wagtail"
"91","Rufous Fantail"
"92","Grey Fantail"
"93","Torresian Crow"
"94","Leaden Flycatcher"
"95","Restless Flycatcher"
"96","Spectacled Monarch"
"97","Black-faced Monarch"
"98","Paradise Riflebird"
"99","Rose Robin"
"100","Eastern Yellow Robin"
"101","Pale-yellow Robin"
"102","Mistletoebird"
"103","Red-browed Finch"
"104","Fairy Martin"
"105","Welcome Swallow"
"106","Silvereye"
"107","Russet-tailed Thrush"
