"","Site","Date","Start","Longitude","Latitude","Elevation","Location","Formation","Fire","Species","Count","Distance","Bearing","Time","Position","Notes","Site.Notes","Treatment","species_richness"
"1","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Albert's Lyrebird",1,40,"W","","","","Loud Cicadas","RainforestBurnt",5
"2","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Albert's Lyrebird",1,80,"N","","","","Loud Cicadas","RainforestBurnt",5
"3","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Brown Cuckoo-Dove",1,80,"W","","","","Loud Cicadas","RainforestBurnt",5
"4","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Brown Cuckoo-Dove",1,70,"N","","","","Loud Cicadas","RainforestBurnt",5
"5","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Brown Cuckoo-Dove",1,60,"NE","6:33","","","Loud Cicadas","RainforestBurnt",5
"6","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Brown Cuckoo-Dove",1,70,"S","","","","Loud Cicadas","RainforestBurnt",5
"7","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Lewin's Honeyeater",1,50,"W","","","","Loud Cicadas","RainforestBurnt",5
"8","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","White-browed Scrubwren",1,5,"NW","7:39","Understorey","","Loud Cicadas","RainforestBurnt",5
"9","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Wonga Pigeon",1,50,"W","6:32","","","Loud Cicadas","RainforestBurnt",5
"10","BF-BR-01","20/12/2020","6:32",153.360935,-28.58241,387.98,"Blue Fig Road","Rainforest","Burnt","Wonga Pigeon",1,70,"W","","","","Loud Cicadas","RainforestBurnt",5
