"","Site","Estimate_abundance","se_abundance","CV_abundance","Estimate_density","se_density","CV_density","Fire","Formation","Treatment","Location"
"1","BF-BR-01",35.9997828082213,6.5575867010842,0.182156285109216,0.0573244949175499,0.010442017039943,0.182156285109216,"Burnt","Rainforest","RainforestBurnt","Blue Fig Road"
"2","BF-UR-01",32.7270752802012,6.2059636489791,0.189627811096628,0.0521131771977726,0.00988210772130431,0.189627811096628,"Unburnt","Rainforest","RainforestUnburnt","Blue Fig Road"
"3","BF-UR-03",62.1814430323823,9.11439446391205,0.146577403473341,0.099015036675768,0.0145133669807517,0.146577403473341,"Unburnt","Rainforest","RainforestUnburnt","Blue Fig Road"
"4","BF-UR-EH2",19.6362451681207,4.6604219336587,0.237337734060525,0.0312679063186636,0.00742105403448837,0.237337734060525,"Unburnt","Rainforest","RainforestUnburnt","Blue Fig Road"
"5","BFEH2_s1",26.181660224161,5.46674330152751,0.208800483037462,0.0416905417582181,0.00870500525720941,0.208800483037462,"Burnt","Rainforest","RainforestBurnt","Blue Fig Road"
"6","BFEH3_s1",32.7270752802012,6.2059636489791,0.189627811096628,0.0521131771977726,0.00988210772130431,0.189627811096628,"Burnt","Rainforest","RainforestBurnt","Blue Fig Road"
"7","BR-BR-01",67.515427212348,8.8499577250779,0.131080526192084,0.107508642057879,0.0140922893711432,0.131080526192084,"Burnt","Rainforest","RainforestBurnt","Border Ranges 1"
"8","BR-BR-02",85.1281473546997,10.1147395559663,0.11881780433705,0.13555437476863,0.0161062731782902,0.11881780433705,"Burnt","Rainforest","RainforestBurnt","Border Ranges 1"
"9","BR-BR-03",64.5799738552894,8.62942905527875,0.133623916829318,0.102834353272754,0.0137411290689152,0.133623916829318,"Burnt","Rainforest","RainforestBurnt","Border Ranges 1"
"10","BR-BR-04",63.5668449678571,9.04290210807528,0.142258155374046,0.101221090713148,0.0143995256498014,0.142258155374046,"Burnt","Rainforest","RainforestBurnt","Border Ranges 2"
"11","BR-BR-05",58.0392932315217,8.55673560654563,0.147430044890664,0.0924192567380919,0.0136253751696587,0.147430044890664,"Burnt","Rainforest","RainforestBurnt","Border Ranges 2"
"12","BR-UR-01",88.0636007117583,10.3173955960781,0.11715845721376,0.140228663553755,0.0164289738791053,0.11715845721376,"Unburnt","Rainforest","RainforestUnburnt","Border Ranges 1"
"13","BR-UR-02",70.4508805694066,9.06737631955914,0.128704939473768,0.112182930843004,0.0144384973241388,0.128704939473768,"Unburnt","Rainforest","RainforestUnburnt","Border Ranges 1"
"14","BR-UR-03",79.2572406405825,9.7030475672064,0.122424746165565,0.12620579719838,0.0154507126866344,0.122424746165565,"Unburnt","Rainforest","RainforestUnburnt","Border Ranges 1"
"15","BR-UR-04",63.5668449678571,9.04290210807528,0.142258155374046,0.101221090713148,0.0143995256498014,0.142258155374046,"Unburnt","Rainforest","RainforestUnburnt","Border Ranges 2"
"16","BR-UR-05",52.5117414951863,8.05833206263067,0.153457718848829,0.0836174227630355,0.0128317389532336,0.153457718848829,"Unburnt","Rainforest","RainforestUnburnt","Border Ranges 2"
"17","BY-BS-01",49.6117234125873,7.73235516649803,0.155857419065918,0.0789995595741836,0.0123126674625765,0.155857419065918,"Burnt","Dry Sclerophyll","Dry SclerophyllBurnt","Banyabba"
"18","BY-BS-02",43.77505006993,7.19018648233628,0.164253072717223,0.0697054937419267,0.0114493415323826,0.164253072717223,"Burnt","Dry Sclerophyll","Dry SclerophyllBurnt","Banyabba"
