"","Site","Treatment","Fire","Formation","Location","Species_richness","Shannon_diversity","Simpson_diversity"
"1","BF-BR-01","RainforestBurnt","Burnt","Rainforest","Blue Fig Road",5,4.353,3.846
"2","BF-UR-01","RainforestUnburnt","Unburnt","Rainforest","Blue Fig Road",10,9.698,9.308
"3","BF-UR-03","RainforestUnburnt","Unburnt","Rainforest","Blue Fig Road",14,12.672,11.524
"4","BF-UR-EH2","RainforestUnburnt","Unburnt","Rainforest","Blue Fig Road",5,3.413,2.5
"5","BFEH2_s1","RainforestBurnt","Burnt","Rainforest","Blue Fig Road",5,4.86,4.765
"6","BFEH3_s1","RainforestBurnt","Burnt","Rainforest","Blue Fig Road",7,5.858,4.84
"7","BR-BR-01","RainforestBurnt","Burnt","Rainforest","Border Ranges 1",15,11.025,8.61
"8","BR-BR-02","RainforestBurnt","Burnt","Rainforest","Border Ranges 1",15,13.439,12.071
"9","BR-BR-03","RainforestBurnt","Burnt","Rainforest","Border Ranges 1",13,11.585,10.373
"10","BR-BR-04","RainforestBurnt","Burnt","Rainforest","Border Ranges 2",12,10.79,9.757
"11","BR-BR-05","RainforestBurnt","Burnt","Rainforest","Border Ranges 2",15,12.755,10.922
"12","BR-UR-01","RainforestUnburnt","Unburnt","Rainforest","Border Ranges 1",20,16.867,14.157
"13","BR-UR-02","RainforestUnburnt","Unburnt","Rainforest","Border Ranges 1",18,14.733,12.042
"14","BR-UR-03","RainforestUnburnt","Unburnt","Rainforest","Border Ranges 1",17,14.651,12.857
"15","BR-UR-04","RainforestUnburnt","Unburnt","Rainforest","Border Ranges 2",15,13.881,12.902
"16","BR-UR-05","RainforestUnburnt","Unburnt","Rainforest","Border Ranges 2",10,8.585,7.41
"17","BY-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Banyabba",11,10.041,9.143
"18","BY-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Banyabba",11,9.335,8.036
"19","BY-BS-03","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Banyabba",9,8,7.111
"20","BY-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Banyabba",11,10.071,9.383
"21","BY-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Banyabba",12,10.79,9.757
"22","BY-US-03","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Banyabba",8,6.965,5.918
"23","FC-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Fortis Creek",10,9.076,8.167
"24","FC-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Fortis Creek",12,11.314,10.667
"25","FC-BS-03","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Fortis Creek",10,9.125,8.333
"26","FC-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Fortis Creek",10,8.742,7.714
"27","FC-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Fortis Creek",14,12.854,11.765
"28","FC-US-03","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Fortis Creek",7,4.971,3.882
"29","GG-BR-01","RainforestBurnt","Burnt","Rainforest","Gibbergunya Range Road",15,11.839,9.135
"30","GG-BR-02","RainforestBurnt","Burnt","Rainforest","Gibbergunya Range Road",5,4.762,4.5
"31","GG-BR-03","RainforestBurnt","Burnt","Rainforest","Gibbergunya Range Road",5,4.757,4.571
"32","GG-BR-04","RainforestBurnt","Burnt","Rainforest","Gibbergunya Range Road",17,14.653,12.519
"33","GG-UR-01","RainforestUnburnt","Unburnt","Rainforest","Gibbergunya Range Road",13,11.171,9.68
"34","GG-UR-02","RainforestUnburnt","Unburnt","Rainforest","Gibbergunya Range Road",14,12.672,11.524
"35","GG-UR-03","RainforestUnburnt","Unburnt","Rainforest","Gibbergunya Range Road",15,14.132,13.364
"36","GG-UR-04","RainforestUnburnt","Unburnt","Rainforest","Gibbergunya Range Road",14,12.672,11.524
"37","GI-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Girard State Forest",10,8.724,7.529
"38","GI-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Girard State Forest",14,13,12.071
"39","GI-BS-03","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Girard State Forest",16,13.676,11.842
"40","GI-BS-04","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Girard State Forest",16,15.083,14.297
"41","GI-BS-05","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Girard State Forest",14,13.228,12.462
"42","GI-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Girard State Forest",13,11.339,9.529
"43","GI-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Girard State Forest",8,7.493,7.111
"44","GI-US-03","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Girard State Forest",8,7.327,6.76
"45","GI-US-04","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Girard State Forest",12,11.029,10.256
"46","GI-US-05","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Girard State Forest",10,9.421,8.909
"47","GL-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Gilgury 1",16,13.592,11.25
"48","GL-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Gilgury 1",15,12.757,10.965
"49","GL-BS-03","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Gilgury 2",16,12.985,10.371
"50","GL-BS-04","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Gilgury 2",11,10.106,9.323
"51","GL-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Gilgury 1",17,11.821,7.529
"52","GL-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Gilgury 1",15,13.963,13.091
"53","GL-US-03","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Gilgury 2",14,4.712,2.383
"54","GL-US-04","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Gilgury 2",9,7.292,5.769
"55","MN-BR-01","RainforestBurnt","Burnt","Rainforest","Mount Nardi",7,6.447,6
"56","MN-UR-01","RainforestUnburnt","Unburnt","Rainforest","Mount Nardi",16,14.27,12.522
"57","MP-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Mount Pikapene",12,4.872,2.643
"58","MP-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Mount Pikapene",11,10.375,9.846
"59","MP-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Mount Pikapene",17,12.551,8.64
"60","MP-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Mount Pikapene",14,11.325,8.672
"61","TC-BR-01","RainforestBurnt","Burnt","Rainforest","Terania Creek",14,12.171,10.667
"62","TC-BR-02","RainforestBurnt","Burnt","Rainforest","Terania Creek",15,14.442,13.762
"63","TC-BR-03","RainforestBurnt","Burnt","Rainforest","Terania Creek",12,10.965,9.966
"64","TC-BR-04","RainforestBurnt","Burnt","Rainforest","Terania Creek",16,12.289,9.574
"65","TC-UR-01","RainforestUnburnt","Unburnt","Rainforest","Terania Creek",12,10.758,9.8
"66","TC-UR-02","RainforestUnburnt","Unburnt","Rainforest","Terania Creek",14,12.617,11.52
"67","TC-UR-03","RainforestUnburnt","Unburnt","Rainforest","Terania Creek",14,12.854,11.765
"68","TC-UR-04","RainforestUnburnt","Unburnt","Rainforest","Terania Creek",18,15.848,13.755
"69","TL-BR-01","RainforestBurnt","Burnt","Rainforest","Tooloom",13,12.158,11.364
"70","TL-BS-01","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Captains Creek",15,7.878,4.283
"71","TL-BS-02","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Captains Creek",17,8.908,5
"72","TL-BS-03","Dry SclerophyllBurnt","Burnt","Dry Sclerophyll","Captains Creek",15,14.142,13.333
"73","TL-UR-01","RainforestUnburnt","Unburnt","Rainforest","Tooloom",17,14.258,12.298
"74","TL-US-01","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Captains Creek",13,11.203,9.468
"75","TL-US-02","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Captains Creek",19,14.252,9.707
"76","TL-US-03","Dry SclerophyllUnburnt","Unburnt","Dry Sclerophyll","Captains Creek",17,6.603,3.246
