"","Q1","Q2","Q3","Q4"
"1",1,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",2,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0,1
"10",0,0,0,0
"11",1,0,0,0
"12",1,0,0,0
"13",1,0,0,0
"14",0,0,1,0
"15",0,0,0,1
"16",0,0,0,0
"17",0,0,0,0
"18",0,0,0,0
"19",0,0,1,4
"20",0,0,0,0
"21",0,0,0,0
"22",0,0,0,0
"23",0,0,0,0
"24",0,1,1,0
"25",0,0,0,0
"26",0,0,1,0
"27",0,0,1,3
"28",1,0,0,0
"29",0,1,0,0
"30",1,0,0,0
"31",0,2,0,0
"32",3,0,0,0
"33",2,0,0,0
"34",0,0,0,2
"35",0,0,0,0
"36",0,0,0,1
"37",0,0,0,0
"38",0,1,0,1
"39",0,3,1,0
"40",0,0,0,0
"41",0,1,0,0
"42",0,1,0,0
"43",2,0,0,0
"44",2,0,0,0
"45",0,0,0,0
"46",0,0,0,0
"47",3,1,0,0
"48",0,1,0,0
"49",0,0,0,0
"50",1,0,0,0
"51",1,0,0,0
"52",0,0,0,0
"53",0,0,0,0
"54",0,0,0,0
"55",1,2,0,0
"56",0,0,1,0
"57",1,0,0,0
"58",0,0,0,0
"59",3,0,0,1
"60",0,0,0,0
"61",0,0,0,1
"62",0,0,0,0
"63",0,1,0,0
"64",0,0,0,0
"65",0,0,0,0
"66",0,0,0,0
"67",0,0,0,0
"68",0,0,0,0
"69",0,0,0,0
"70",0,1,0,0
"71",0,0,0,0
"72",0,0,1,2
"73",0,0,0,0
"74",0,1,0,0
"75",0,0,1,1
"76",0,0,0,0
"77",0,2,0,0
"78",0,0,1,0
"79",0,0,0,0
"80",1,0,0,0
"81",1,3,0,0
"82",3,0,0,0
"83",0,0,0,0
"84",1,0,0,0
"85",0,0,0,0
"86",0,0,0,0
"87",2,4,0,0
"88",0,0,0,0
"89",0,0,1,0
"90",0,0,2,0
"91",0,0,0,0
"92",0,1,0,0
"93",0,2,0,1
"94",0,0,0,0
"95",0,0,0,0
"96",0,0,0,1
"97",1,0,0,0
"98",1,0,0,0
"99",1,0,0,0
