"","Species","Understorey","Canopy","Flyover","Midstorey","Ground","X9_Family_common_name_2","X10_Family_scientific_name_2"
"1","Grey Fantail",NA,1,NA,1,NA,"Fantails","Rhipiduridae"
"2","Albert's Lyrebird",NA,NA,NA,NA,NA,"Lyrebirds","Menuridae"
"3","Brown Cuckoo-Dove",1,1,1,1,NA,"Pigeons and Doves","Columbidae"
"4","Lewin's Honeyeater",1,1,NA,1,NA,"Honeyeaters and Chats","Meliphagidae"
"5","White-browed Scrubwren",1,NA,NA,1,NA,"Thornbills and Gerygones","Acanthizidae"
"6","Wonga Pigeon",NA,NA,NA,NA,1,"Pigeons and Doves","Columbidae"
"7","Black-faced Monarch",NA,1,NA,1,NA,"Monarch and Flycatchers","Monarchidae"
"8","Brown Gerygone",NA,1,NA,1,NA,"Thornbills and Gerygones","Acanthizidae"
"9","Brown Thornbill",1,1,NA,NA,NA,"Thornbills and Gerygones","Acanthizidae"
"10","Topknot Pigeon",NA,1,1,NA,NA,"Pigeons and Doves","Columbidae"
"11","Golden Whistler",NA,NA,NA,1,NA,"Whistlers, Shrike-thrushes and allies","Pachycephalidae"
"12","Mistletoebird",NA,1,1,NA,NA,"Flowerpeckers","Dicaeidae"
"13","Scarlet Honeyeater",NA,NA,NA,NA,NA,"Honeyeaters and Chats","Meliphagidae"
"14","White-throated Treecreeper",NA,1,NA,1,NA,"Treecreepers","Climacteridae"
"15","Australian Brush-turkey",NA,NA,NA,NA,NA,"Megapodes","Megapodiidae"
"16","Crimson Rosella",NA,1,1,NA,NA,"Parrots, Lorikeets and Rosellas","Psittaculidae"
"17","Green Catbird",NA,1,NA,1,NA,"Bowerbirds and Catbirds","Ptilonorhynchidae"
"18","Laughing Kookaburra",NA,1,NA,NA,NA,"Kingfishers","Alcedinidae"
"19","Rufous Fantail",1,NA,NA,1,NA,"Fantails","Rhipiduridae"
"20","Superb Fruit-Dove",NA,1,NA,NA,NA,"Pigeons and Doves","Columbidae"
"21","Wompoo Fruit-Dove",NA,1,1,NA,NA,"Pigeons and Doves","Columbidae"
"22","Large-billed Scrubwren",NA,1,NA,1,NA,"Thornbills and Gerygones","Acanthizidae"
"23","Australian Logrunner",1,NA,NA,NA,NA,"Logrunners","Orthonychidae"
"24","Paradise Riflebird",NA,1,NA,NA,NA,"Birds of Paradise","Paradisaeidae"
"25","Pied Currawong",NA,1,NA,NA,NA,"Woodswallows, Currawongs, Butcherbirds and Magpie","Artamidae"
"26","Rose-crowned Fruit-Dove",NA,1,NA,NA,NA,"Pigeons and Doves","Columbidae"
