Species,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10
Albert's Lyrebird,928,0,0,0,0,0,1,0,0
Australasian Figbird,123,1,0,0,0,0,0,0,0
Australian Brush-turkey,2230,1,0,1,1,0,1,1,0
Australian King-Parrot,207,1,0,1,0,0,0,0,0
Australian Logrunner,58.8,0,0,0,0,0,1,0,0
Australian Magpie,280,0,0,1,1,0,1,1,1
Australian Owlet-nightjar,42.8,0,0,0,0,0,1,0,0
Barred Cuckoo-shrike,83,1,0,0,0,0,0,0,0
Bar-shouldered Dove,123,0,0,1,0,0,0,0,0
Bell Miner,31.3,0,1,0,0,0,1,0,0
Black-faced Cuckoo-shrike,115,1,0,1,1,0,1,0,0
Black-faced Monarch,22.6,0,0,0,0,0,1,0,0
Brown Cuckoo-Dove,202,1,0,1,0,0,0,0,0
Brown Gerygone,5.4,0,0,0,0,0,1,0,0
Brown Honeyeater,10.8,0,1,0,0,0,1,0,0
Brown Thornbill,9,0,0,1,0,0,1,0,0
Brown-capped Emerald Dove,136,1,0,1,0,0,0,0,0
Brush Cuckoo,37.4,0,0,0,0,0,1,0,0
Cicadabird,65,1,0,1,0,0,1,0,0
Collared Sparrowhawk,180,0,0,0,0,0,1,1,0
Crimson Rosella,126,1,0,1,0,0,1,0,0
Dusky Woodswallow,34.5,1,0,0,0,0,1,0,0
Eastern Koel,243,1,0,0,0,0,0,0,0
Eastern Rosella,104,1,0,1,0,0,0,0,0
Eastern Spinebill,10.5,0,1,0,0,0,1,0,0
Eastern Whipbird,58.7,0,0,1,0,0,1,0,0
Eastern Yellow Robin,19.4,0,0,0,0,0,1,0,0
Fairy Martin,10.8,0,0,0,0,0,1,0,0
Fan-tailed Cuckoo,49.9,0,0,0,0,0,1,0,0
Glossy Black-Cockatoo,460,0,0,1,0,0,0,0,0
Golden Whistler,38.5,1,0,0,0,0,1,0,0
Green Catbird,208,1,0,1,1,0,1,1,0
Grey Butcherbird,90.8,0,0,0,0,0,1,1,0
Grey Fantail,7.8,0,0,0,0,0,1,0,0
Grey Shrike-thrush,67.5,1,0,1,0,0,1,1,0
