"","Species","X99_Body_mass_average_8","X163_Food_Fruit_10","X164_Food_Nectar_or_pollen_10","X165_Food_Seeds_10","X166_Food_Foliage_or_herbs_10","X167_Food_Corms_or_tubers","X168_Food_Terrestrial_invertebrates_10","X169_Food_Terrestrial_vertebrates_10","X170_Food_Carrion_10"
"1","Australian Brush-turkey","2230",1,0,1,1,0,1,1,0
"2","White-headed Pigeon","420",1,0,1,0,0,0,0,0
"3","Brown Cuckoo-Dove","202",1,0,1,0,0,0,0,0
"4","Wonga Pigeon","429",1,0,1,0,0,0,0,0
"5","Peaceful Dove","45.4",0,0,1,0,0,0,0,0
"6","Bar-shouldered Dove","123",0,0,1,0,0,0,0,0
"7","Brown-capped Emerald Dove","136",1,0,1,0,0,0,0,0
"8","Wompoo Fruit-Dove","336",1,0,0,0,0,0,0,0
"9","Superb Fruit-Dove","113",1,0,0,0,0,0,0,0
"10","Rose-crowned Fruit-Dove","93",1,0,0,0,0,0,0,0
"11","Topknot Pigeon","517",1,0,0,0,0,0,0,0
"12","Eastern Koel","243",1,0,0,0,0,0,0,0
"13","Shining Bronze-Cuckoo","24.2",0,0,0,0,0,1,0,0
"14","Fan-tailed Cuckoo","49.9",0,0,0,0,0,1,0,0
"15","Brush Cuckoo","37.4",0,0,0,0,0,1,0,0
"16","Australian Owlet-nightjar","42.8",0,0,0,0,0,1,0,0
"17","Painted Button-quail","80.9",0,0,1,0,0,1,0,0
"18","Collared Sparrowhawk","180",0,0,0,0,0,1,1,0
"19","Rainbow Bee-eater","28",0,0,0,0,0,1,0,0
"20","Sacred Kingfisher","53.1",0,0,0,0,0,1,1,0
"21","Laughing Kookaburra","312",0,0,0,0,0,1,1,0
"22","Glossy Black-Cockatoo","460",0,0,1,0,0,0,0,0
"23","Yellow-tailed Black-Cockatoo","661",0,0,1,0,0,1,0,0
"24","Sulphur-crested Cockatoo","735",0,0,1,0,1,0,0,0
"25","Australian King-Parrot","207",1,0,1,0,0,0,0,0
"26","Crimson Rosella","126",1,0,1,0,0,1,0,0
"27","Eastern Rosella","104",1,0,1,0,0,0,0,0
