,X1,Site,Bearing,Point,Litter.Cover,Litter.Depth.OG,Litter.Depth,Undergrowth,Growth..2m,Canopy.Cover,Notes,Recorder,Treatment,Longitude,Latitude,Elevation,Location,Formation,Fire
1,3,TC-BR-01,North,10,70,17,12,5,18.7,60,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
2,5,TC-BR-01,North,20,60,31,26,,7.6,70,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
3,7,TC-BR-01,North,30,100,32,27,,7,30,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
4,9,TC-BR-01,North,40,50,20,15,"4, 11",22.2,50,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
5,11,TC-BR-01,North,50,90,34,29,,24.6,50,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
6,13,TC-BR-01,East,10,70,19,14,,12.1,70,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
7,15,TC-BR-01,East,20,90,24,19,,19.4,60,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
8,17,TC-BR-01,East,30,70,24,19,,11.1,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
9,19,TC-BR-01,East,40,90,35,30,156,8.6,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
10,21,TC-BR-01,East,50,90,32,27,,24.8,70,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
11,23,TC-BR-01,South,10,90,27,22,3,15.3,50,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
12,25,TC-BR-01,South,20,80,31,26,42,4.3,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
13,27,TC-BR-01,South,30,70,23,18,20,1.4,90,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
14,29,TC-BR-01,South,40,100,23,18,105,2.6,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
15,31,TC-BR-01,South,50,100,38,33,166,2.4,90,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
16,33,TC-BR-01,West,10,90,16,11,,10.9,50,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
17,35,TC-BR-01,West,20,90,50,45,,21.4,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
18,37,TC-BR-01,West,30,90,34,29,,12.1,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
19,39,TC-BR-01,West,40,80,40,35,"148, 154, 162, 177, 186",2.1,100,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
20,41,TC-BR-01,West,50,90,23,18,,4.4,80,,,RainforestBurnt,153.313737,-28.565375,225.749,Terania Creek,Rainforest,Burnt
21,42,TC-UR-01,North,10,100,32,27,,14.4,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
22,43,TC-UR-01,North,20,100,34,29,,2.4,100,Base of Tree,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
23,44,TC-UR-01,North,30,100,28,23,,1,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
24,45,TC-UR-01,North,40,100,20,15,"88, 104",1.9,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
25,46,TC-UR-01,North,50,100,40,35,,5.1,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
26,47,TC-UR-01,East,10,90,22,17,129,1.7,90,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
27,48,TC-UR-01,East,20,100,45,40,"116, 169, 173, 195",1.3,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
28,49,TC-UR-01,East,30,90,33,28,15,10,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
29,50,TC-UR-01,East,40,100,32,27,94,7.5,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
30,51,TC-UR-01,East,50,100,49,44,35,7.7,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
31,52,TC-UR-01,South,10,100,32,27,"80, 95",1,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
32,53,TC-UR-01,South,20,80,27,22,"5, 19, 32",5.2,90,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
33,54,TC-UR-01,South,30,100,35,30,"25, 26",9.7,30,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
34,55,TC-UR-01,South,40,90,25,20,"175, 199",1.5,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
35,56,TC-UR-01,South,50,100,28,23,,9.7,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
36,57,TC-UR-01,West,10,100,23,18,186,2.6,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
37,58,TC-UR-01,West,20,100,19,14,,2.2,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
38,59,TC-UR-01,West,30,100,24,19,"100, 190",0.2,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
39,60,TC-UR-01,West,40,100,39,34,"55, 79, 84, 140",0.2,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
40,61,TC-UR-01,West,50,100,46,41,,17.8,100,,,RainforestUnburnt,153.312972,-28.566023,214.467,Terania Creek,Rainforest,Unburnt
41,62,TC-BR-02,North,10,40,31,26,61,NA,0,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
42,63,TC-BR-02,North,20,100,43,38,82,5.4,30,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
43,64,TC-BR-02,North,30,90,38,33,"4, 31",4.7,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
44,65,TC-BR-02,North,40,100,25,20,"9, 18",21,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
45,66,TC-BR-02,North,50,100,32,27,,6.1,60,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
46,67,TC-BR-02,East,10,50,40,35,,NA,0,Log,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
47,68,TC-BR-02,East,20,100,24,19,"6, 12, 19, 54",7.8,80,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
48,69,TC-BR-02,East,30,90,31,26,60,14.2,80,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
49,70,TC-BR-02,East,40,60,25,20,,2.4,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
50,71,TC-BR-02,East,50,70,17,12,24,6.9,20,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
51,72,TC-BR-02,South,10,100,26,21,19,13.7,40,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
52,73,TC-BR-02,South,20,90,39,34,,15.1,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
53,74,TC-BR-02,South,30,100,20,15,,20.8,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
54,75,TC-BR-02,South,40,100,26,21,,2.3,100,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
55,76,TC-BR-02,South,50,90,37,32,"32, 90, 100",4.2,100,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
56,77,TC-BR-02,West,10,90,24,19,145,13.6,70,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
57,78,TC-BR-02,West,20,100,36,31,45,11.2,30,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
58,79,TC-BR-02,West,30,100,46,41,,1.8,90,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
59,80,TC-BR-02,West,40,90,26,21,"9, 18, 33, 187",3.1,10,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
