Site,Date,Start,Longitude,Latitude,Elevation,Location,Formation,Fire,Species,Count,Distance,Bearing,Time,Position,Notes,Site Notes
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Grey Fantail,1,10,W,,,Out of Survey,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Albert's Lyrebird,1,40,W,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Albert's Lyrebird,1,80,N,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,1,80,W,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,1,70,N,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,1,60,NE,6:33,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,1,70,S,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Lewin's Honeyeater,1,50,W,,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,White-browed Scrubwren,1,5,NW,7:39,Understorey,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Wonga Pigeon,1,50,W,6:32,,,Loud Cicadas
BF-BR-01,20/12/2020,6:32,153.360935,-28.58241,387.98,Blue Fig Road,Rainforest,Burnt,Wonga Pigeon,1,70,W,,,,Loud Cicadas
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Black-faced Monarch,1,10,E,6:00,,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,2,100,N,,,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,1,150,S,,,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Brown Gerygone,2,10,N,,,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Brown Thornbill,2,20,S,5:58,Canopy,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Grey Fantail,2,30,NW,5:56,,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Pied Currawong,1,150,NE,6:03,Canopy,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH2_s1,19/12/2020,5:56,153.3509299,-28.57666976,,Blue Fig Road,Rainforest,Burnt,Topknot Pigeon,1,60,N,,Flyover,,"Loud Creek, fire runs east to west unburnt RF across creek south"
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Brown Cuckoo-Dove,2,20,E,,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Brown Gerygone,1,40,E,5:55,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Golden Whistler,1,50,N,5:54,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Grey Shrike-thrush,1,150,NE,,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Lewin's Honeyeater,1,60,E,,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Mistletoebird,1,60,SW,,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Pied Currawong,1,150,N,,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Scarlet Honeyeater,2,30,N,5:56,,,Stream loud
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,Scarlet Honeyeater,2,50,SW,5:59,,,Stream loud
