1,Site,Bearing,Point,Litter Cover,Litter Depth OG,Litter Depth,Undergrowth,Growth >2m,Canopy Cover,Notes,Recorder
2,TC-BR-01,North,5,60,34,29,"12, 23",29.3,40,,
3,TC-BR-01,North,10,70,17,12,5,18.7,60,,
4,TC-BR-01,North,15,90,32,27,,1.1,70,,
5,TC-BR-01,North,20,60,31,26,,7.6,70,,
6,TC-BR-01,North,25,100,42,37,,12.6,50,,
7,TC-BR-01,North,30,100,32,27,,7,30,,
8,TC-BR-01,North,35,90,21,16,31,17.2,50,,
9,TC-BR-01,North,40,50,20,15,"4, 11",22.2,50,,
10,TC-BR-01,North,45,10,19,14,12,30,60,,
11,TC-BR-01,North,50,90,34,29,,24.6,50,,
12,TC-BR-01,East,5,100,48,43,,15,60,,
13,TC-BR-01,East,10,70,19,14,,12.1,70,,
14,TC-BR-01,East,15,100,52,47,,14.7,80,,
15,TC-BR-01,East,20,90,24,19,,19.4,60,,
16,TC-BR-01,East,25,80,19,14,94,13.5,70,,
17,TC-BR-01,East,30,70,24,19,,11.1,80,,
18,TC-BR-01,East,35,80,19,14,,5,80,,
19,TC-BR-01,East,40,90,35,30,156,8.6,80,,
20,TC-BR-01,East,45,80,19,14,,5.8,80,,
21,TC-BR-01,East,50,90,32,27,,24.8,70,,
22,TC-BR-01,South,5,90,18,13,,13.9,40,,
23,TC-BR-01,South,10,90,27,22,3,15.3,50,,
24,TC-BR-01,South,15,70,18,13,,3.8,70,,
25,TC-BR-01,South,20,80,31,26,42,4.3,80,,
26,TC-BR-01,South,25,90,24,19,,7,90,,
27,TC-BR-01,South,30,70,23,18,20,1.4,90,,
28,TC-BR-01,South,35,90,24,19,,2.8,90,,
29,TC-BR-01,South,40,100,23,18,105,2.6,80,,
30,TC-BR-01,South,45,100,38,33,"2, 50",0.6,80,,
31,TC-BR-01,South,50,100,38,33,166,2.4,90,,
32,TC-BR-01,West,5,100,29,24,,18.8,60,,
33,TC-BR-01,West,10,90,16,11,,10.9,50,,
34,TC-BR-01,West,15,80,62,57,,19.9,70,,
35,TC-BR-01,West,20,90,50,45,,21.4,80,,
36,TC-BR-01,West,25,90,26,21,,5.1,80,,
37,TC-BR-01,West,30,90,34,29,,12.1,80,,
38,TC-BR-01,West,35,100,34,29,4,3.1,90,,
39,TC-BR-01,West,40,80,40,35,"148, 154, 162, 177, 186",2.1,100,,
40,TC-BR-01,West,45,90,33,28,,6.4,80,,
41,TC-BR-01,West,50,90,23,18,,4.4,80,,
42,TC-UR-01,North,10,100,32,27,,14.4,100,,
43,TC-UR-01,North,20,100,34,29,,2.4,100,Base of Tree,
44,TC-UR-01,North,30,100,28,23,,1,100,,
45,TC-UR-01,North,40,100,20,15,"88, 104",1.9,100,,
46,TC-UR-01,North,50,100,40,35,,5.1,100,,
47,TC-UR-01,East,10,90,22,17,129,1.7,90,,
48,TC-UR-01,East,20,100,45,40,"116, 169, 173, 195",1.3,100,,
49,TC-UR-01,East,30,90,33,28,15,10,100,,
50,TC-UR-01,East,40,100,32,27,94,7.5,100,,
51,TC-UR-01,East,50,100,49,44,35,7.7,100,,
