name,lon,lat,ele,time,,sym,type,extensions
4,151.205427,-33.828093,110.448,2020-11-14T07:22:05Z,,"Flag, Blue",Blue Flag,4
9,152.402234,-28.479541,745.363,2020-11-20T08:59:59Z,,"Flag, Blue",Blue Flag,9
11,152.841659,-29.446893,124.307,2020-12-08T18:36:03Z,,"Flag, Blue",Blue Flag,11
12,152.845992,-29.447397,143.674,2020-12-08T18:42:31Z,,"Flag, Blue",Blue Flag,12
13,152.83849,-29.443759,95.859,2020-12-08T20:20:32Z,,"Flag, Blue",Blue Flag,13
14,153.001619,-29.380139,95.936,2020-12-09T06:41:29Z,,"Flag, Blue",Blue Flag,14
15,152.991592,-29.38107,82.927,2020-12-09T06:47:22Z,,"Flag, Blue",Blue Flag,15
16,152.333418,-29.474039,877.737,2020-12-10T21:47:55Z,,"Flag, Blue",Blue Flag,16
17,152.333423,-29.474043,877.734,2020-12-10T21:47:56Z,,"Flag, Blue",Blue Flag,17
18,152.333427,-29.474053,877.749,2020-12-10T21:47:57Z,,"Flag, Blue",Blue Flag,18
19,152.333442,-29.474054,877.721,2020-12-10T21:47:57Z,,"Flag, Blue",Blue Flag,19
20,152.333447,-29.474057,877.731,2020-12-10T21:47:58Z,,"Flag, Blue",Blue Flag,20
21,152.333456,-29.474057,877.731,2020-12-10T21:47:59Z,,"Flag, Blue",Blue Flag,21
22,152.333462,-29.474063,877.731,2020-12-10T21:47:59Z,,"Flag, Blue",Blue Flag,22
BF-BR-01,153.360935,-28.58241,387.98,2020-12-19T00:57:03Z,,"Flag, Blue",Blue Flag,BF-BR-01
BF-UR-01,153.360976,-28.581176,376.622,2020-12-19T00:16:49Z,,"Flag, Blue",Blue Flag,BF-UR-01
BF-UR-BFEH3,153.354715,-28.582456,418.103,2020-12-19T05:00:16Z,,"Flag, Blue",Blue Flag,BF-UR-BFEH3
BF-UR-EH2,153.351935,-28.577145,399.859,2020-12-18T19:31:33Z,,"Flag, Blue",Blue Flag,BF-UR-EH2
BR-BR-01,152.716827,-28.350157,537.361,2020-11-24T05:05:59Z,,"Flag, Blue",Blue Flag,BR-BR-01
BR-BR-02,152.711953,-28.344048,544.357,2020-11-20T01:16:40Z,,"Flag, Blue",Blue Flag,BR-BR-02
BR-BR-03,152.712833,-28.345416,545.487,2020-11-20T01:29:24Z,,"Flag, Blue",Blue Flag,BR-BR-03
BR-BR-04-ED,152.755279,-28.371405,554.274,2020-11-20T03:04:58Z,,"Flag, Blue",Blue Flag,BR-BR-04-ED
BR-BR-05,152.756364,-28.372234,552.432,2020-11-20T04:19:41Z,,"Flag, Blue",Blue Flag,BR-BR-05
BR-UR-01,152.716339,-28.349344,560.23,2020-11-20T00:29:45Z,,"Flag, Blue",Blue Flag,BR-UR-01
BR-UR-02,152.712416,-28.346926,533.221,2020-11-20T01:44:24Z,,"Flag, Blue",Blue Flag,BR-UR-02
BR-UR-03,152.71413,-28.347336,544.621,2020-11-20T01:59:09Z,,"Flag, Blue",Blue Flag,BR-UR-03
BR-UR-04,152.755609,-28.370067,552.196,2020-11-20T04:46:03Z,,"Flag, Blue",Blue Flag,BR-UR-04
BR-UR-05,152.757377,-28.371518,565.157,2020-11-20T04:25:44Z,,"Flag, Blue",Blue Flag,BR-UR-05
BY-BS-01,152.971524,-29.379345,61.36,2020-12-09T18:38:35Z,,"Flag, Blue",Blue Flag,BY-BS-01
BY-BS-02,152.991093,-29.379926,72.411,2020-12-09T19:51:07Z,,"Flag, Blue",Blue Flag,BY-BS-02
BY-BS-03,153.001217,-29.378313,73.278,2020-12-09T20:37:43Z,,"Flag, Blue",Blue Flag,BY-BS-03
BY-US-01,152.969529,-29.382354,71.667,2020-12-09T18:59:26Z,,"Flag, Blue",Blue Flag,BY-US-01
BY-US-02,152.992708,-29.382376,63.749,2020-12-09T19:32:15Z,,"Flag, Blue",Blue Flag,BY-US-02
BY-US-03,153.001006,-29.381805,77.446,2020-12-09T20:15:45Z,,"Flag, Blue",Blue Flag,BY-US-03
CP,153.311391,-28.568882,169.428,2020-11-17T19:18:11Z,,"Flag, Blue",Blue Flag,CP
FC-BS-01,152.846755,-29.44624,125.811,2020-12-08T18:46:29Z,,"Flag, Blue",Blue Flag,FC-BS-01
FC-BS-02,152.842214,-29.445343,116.018,2020-12-08T19:50:12Z,,"Flag, Blue",Blue Flag,FC-BS-02
FC-BS-03,152.839717,-29.44345,99.12,2020-12-08T20:23:52Z,,"Flag, Blue",Blue Flag,FC-BS-03
FC-US-01,152.845428,-29.448756,142.444,2020-12-08T19:05:33Z,,"Flag, Blue",Blue Flag,FC-US-01
FC-US-02,152.841255,-29.447439,111.263,2020-12-08T19:30:27Z,,"Flag, Blue",Blue Flag,FC-US-02
FC-US-03,152.837279,-29.443808,84.644,2020-12-08T20:42:15Z,,"Flag, Blue",Blue Flag,FC-US-03
GG-2,153.332099,-28.576368,647.632,2020-12-20T01:23:19Z,,"Flag, Blue",Blue Flag,GG-2
GG-BR-01,153.33192,-28.574153,NA,2020-12-20T01:09:35Z,,"Flag, Blue",Blue Flag,GG-BR-01
GG-BR-01,153.33192,-28.574153,NA,2020-12-20T01:08:57Z,,"Flag, Blue",Blue Flag,GG-BR-01
GG-BR-02,153.331637,-28.576159,648.606,2020-12-20T04:45:57Z,,"Flag, Blue",Blue Flag,GG-BR-02
GG-BR-03,153.330889,-28.578052,614.213,2020-12-21T00:11:19Z,,"Flag, Blue",Blue Flag,GG-BR-03
GG-UR-01,153.333358,-28.574034,455.375,2020-12-20T01:13:07Z,,"Flag, Blue",Blue Flag,GG-UR-01
GG-UR-03,153.331914,-28.578817,612.903,2020-12-20T23:25:24Z,,"Flag, Blue",Blue Flag,GG-UR-03
GG-UR-04,153.327061,-28.606402,330.304,2020-12-20T21:26:33Z,,"Flag, Blue",Blue Flag,GG-UR-04
GG-UR-2,153.332983,-28.57652,652.949,2020-12-20T04:04:38Z,,"Flag, Blue",Blue Flag,GG-UR-2
GI-BS-01,152.263156,-28.924645,696.992,2020-12-03T04:22:27Z,,"Flag, Blue",Blue Flag,GI-BS-01
GI-BS-02,152.267556,-28.9193,680.893,2020-12-03T04:47:48Z,,"Flag, Blue",Blue Flag,GI-BS-02
GI-BS-03,152.265816,-28.915573,678.139,2020-12-03T05:15:00Z,,"Flag, Blue",Blue Flag,GI-BS-03
GI-BS-04,152.26639,-28.912691,670.83,2020-12-03T05:52:59Z,,"Flag, Blue",Blue Flag,GI-BS-04
GI-BS-05,152.266421,-28.909995,653.914,2020-12-04T05:32:33Z,,"Flag, Blue",Blue Flag,GI-BS-05
