Site,Long,Lat
Nightcap,153.3268692,-28.60305095
Terania _ 02,153.3176835,-28.56191216
T_01_UNSW,153.3131427,-28.56492853
AN2a,153.3756112,-28.58160433
AN2b,153.3757902,-28.58305708
AN2c,153.3750252,-28.58361884
AN4b,153.2905704,-28.54372132
AW2a,152.335131,-29.47605191
AW2b,152.3340947,-29.47521643
AW2c,152.3336181,-29.47396859
BFEH1_s1,153.3613543,-28.58102925
BFEH2_s1,153.3509299,-28.57666976
BFEH3_s1,153.3584993,-28.58045913
BFEH4_s1,153.3579877,-28.58034314
BFEH5_s1,153.3468127,-28.57155333
BFESed1_s1,153.3623317,-28.57978099
Border Ranges 7,152.755346,-28.37168266
Border Ranges 8,152.7164487,-28.34976254
MtJ_S1,153.3556842,-28.52174933
N15_NEBBT_S1,153.3480375,-28.56154887
N15_RF_S1,153.3480375,-28.56154887
Nightcap 1,153.311287,-28.56319971
Nightcap 2,153.3129778,-28.56102044
Nightcap 3,153.3164532,-28.56077769
Nightcap 4,153.334295,-28.55463303
Nightcap 5,153.3002796,-28.53940357
Nightcap 6,153.3470512,-28.56320324
Nightcap BFEH1,153.3613543,-28.58102925
Nightcap BFEH2,153.3509299,-28.57666976
Nightcap BFEH3,153.3584993,-28.58045913
Nightcap BFEH4,153.3579877,-28.58034314
Nightcap BFEH5,153.3468127,-28.57155333
PMUA1_baseline,153.3756396,-28.58095434
PMUA2_s1,153.3607632,-28.56963946
PMUA3_baseline,153.3603305,-28.56865672
T29_S1,153.3547377,-28.56869854
Tooloom 12,152.4001112,-28.48316031
Yabbra NP,152.4840368,-28.68240881
